id,priority,status,source_name,supporting_dds,analytical_claims,access_type,access_path,estimated_minutes,local_filename,notes
ft_coreweave_reporting,P1,pending,FT — CoreWeave Financing Series (2023–2024),DD-001,B,paywall_workaround,"Search FT.com for 'CoreWeave' filtered by 2023-2024. archive.ph often captures these. Key facts also confirmed by Bloomberg and Reuters.",15,data/external/ft_coreweave.txt,"Nvidia equity stake in CoreWeave, $7.5B term loan context, Microsoft customer concentration background. Note: S-1 is now the primary source for most of these facts — FT reporting is corroborating context."
iedc_amazon_boone_county,P2,pending,Indiana IEDC Board Minutes — Amazon/Boone County Tax Credits,DD-001,D,browser_navigation,"https://iedc.in.gov → About → Board Meetings → 2022–2024 minutes. Or: Programs → Tax Credits → search Amazon.",25,data/external/iedc_amazon_approval.pdf,"Look for IEDC conditional tax credit approval for Amazon Project Rainier. Should specify: investment commitment, projected employment, credit type, term. Anchors the $8B subsidy figure to a specific government approval document."
boone_county_sb1,P2,pending,Boone County Assessor — Statement of Benefits (SB-1) Forms,DD-001,D,browser_navigation,"Boone County Assessor, Indiana. Address: 121 N. Capitol Ave, Lebanon IN 46052. Phone: (765) 482-0940. Form SB-1 filings are public records. May require direct contact or in-person request under Indiana APRA.",30,data/external/boone_county_sb1.pdf,"SB-1 discloses: investment amount, projected employment, abatement value by year, abatement duration. Primary quantification of the property tax subsidy. Cross-check with Good Jobs First figure."
senate_budget_pe_utilities,P2,pending,Senate Budget Committee — PE Utility Acquisitions Report (Oct 2024),DD-004,E,browser_navigation,"https://budget.senate.gov → Reports and Documents → search 'utility' or 'private equity' → 2024. Also: https://govinfo.gov → Congressional Reports → Senate Budget.",15,data/external/senate_budget_pe_utilities.pdf,"The '91 fund-backed utility acquisitions' figure source. If the formal report is not found here, it may be a majority staff report (not formally voted) — check the press release tab on budget.senate.gov for the October 2024 release."
indiana_dnr_dewatering,P2,pending,Indiana DNR — Amazon Dewatering Permit (Boone County),DD-001,D,foia_request,"Indiana DNR Division of Water. Submit APRA request: in.gov/dnr → Contact → Div. of Water. Request: temporary dewatering permit for Amazon Data Services in Boone County, 2022–2024. Response within 24 hours under Indiana APRA.",300,data/external/amazon_dewatering_permit.pdf,"Verify the '2.2M gallons/hour for 730 days' figure. This is a striking number and should be confirmed against the actual permit before citing analytically. State investigating dry neighbor wells — the permit or subsequent enforcement action may document this."
army_corps_404_rainier,P2,pending,Army Corps of Engineers — Section 404 Permit (Louisville District),DD-001,D,browser_navigation,"https://lrl.usace.army.mil → Regulatory → Permits → Public Notices. Search Boone County Indiana, 2022–2024. Also: RIBITS for wetland mitigation bank credits: https://ribits.usace.army.mil",20,data/external/army_corps_404_rainier.pdf,"Verify the '10-acre wetland' impact claim. Public Notice would show: project footprint, wetland delineation, proposed fill acreage, mitigation plan. If Army Corps permit required, this is primary evidence for the community externality claim."
delaware_beignet_llc,P2,pending,Delaware Corp Search — Beignet Investor LLC,DD-001,A,direct_access,"https://corp.delaware.gov → Get Corporation Information → search 'Beignet Investor'. $10 fee for status report.",5,data/external/delaware_beignet.txt,"Confirms LLC existence, incorporation date, registered agent. Anchors the SPV timeline relative to Meta's announced capex buildout. The actual operating agreement is not public."
pjm_queue_excel,P1,pending,PJM Interconnection Queue — Active Demand Resources Download,DD-002,D,direct_download,"https://www.pjm.com/-/media/planning/new-services-queue/queued-projects-details.ashx — Excel download, no registration.",10,data/external/pjm_queue_demand_resources.xlsx,"Filter for demand resources (load-side) in AEP zone (covers Indiana). May show Project Rainier as a queued load under a project number. Individual identities may be masked in public data."
lbnl_dc_energy_report,P1,retrieved,LBNL Data Center Energy Usage Report (Dec 2024),DD-001;DD-002,C;D,direct_download,"https://www.osti.gov/biblio/2431240 or https://escholarship.org/uc/item/6gq8m7rr",5,data/external/lbnl_2001524.pdf,"RETRIEVED by researcher agent. Key figures: 176 TWh (2023 actual); 325-580 TWh projected 2028. Cite as: Shehabi et al. (2024), LBNL-2001524. Add to source_citations.csv: lbnl_dc_energy_2023_twh=176, lbnl_dc_2028_low=325, lbnl_dc_2028_high=580."
coreweave_s1,P0,retrieved,CoreWeave S-1/A Registration Statement (Mar 2025),DD-001,A;B,direct_download,"https://www.sec.gov/Archives/EDGAR/data/2051911/000119312525062219/ds1a.htm",5,data/external/coreweave_s1a.pdf,"RETRIEVED by researcher agent. Key: Microsoft ~62% of 2024 revenue; $15.1B RPO; $8B debt at 11-12.5%; take-or-pay language is 'may include' not absolute. Google NOT prominently in customer concentration data."
ferc_ad24_11,P0,retrieved,FERC Docket AD24-11 — Policy Statement (May 2024),DD-001;DD-002;DD-004,B;E,direct_download,"https://www.ferc.gov/sites/default/files/2024-05/AD24-11-000.pdf",5,data/external/ferc_ad24_11.pdf,"RETRIEVED by researcher agent. Status: non-binding Policy Statement only — no NOPR or Final Rule yet. Para 15: cost-causation applies to large loads. Para 22: upgrade costs 'may be inappropriately socialized' across ratepayers. Para 45: AI data centers present 'novel challenges'."
ferc_order_2023,P1,retrieved,FERC Order 2023 — Generator Interconnection Reform,DD-001;DD-002,D,direct_download,"https://www.ferc.gov/sites/default/files/2023-07/E-1_0.pdf",5,data/external/ferc_order_2023.pdf,"RETRIEVED by researcher agent. NOTE: This governs GENERATOR interconnection (supply-side), NOT large load/data center interconnection. Use for generator queue reform context only. Use AD24-11 for data center cost allocation claims."
acemoglu_nber_32487,P0,retrieved,Acemoglu NBER WP 32487 — Simple Macroeconomics of AI (May 2024),DD-001,B;C,direct_download,https://www.nber.org/papers/w32487,5,data/external/acemoglu_nber_32487.pdf,"RETRIEVED. Free substitute for paywalled Goldman Sachs note. Same argument: AI investment exceeds plausible near-term productivity returns. Peer-reviewed, Nobel laureate author. Preferred citation over GS note."
