key,value,unit,source_type,source_name,source_date,source_detail,url,paywalled
sequoia_rev_target_feb25_bn,1000,bn_usd,analysis,"Sequoia Capital - David Cahn",2025-02,"Updated estimate (capex escalation)",https://www.sequoiacap.com/article/ais-600b-question/,false
vc_ai_2024_bn,131.5,bn_usd,report,PitchBook 2025 Annual VC Report,2025,,https://pitchbook.com,true
ai_capex_share_pct,75,pct,report,CreditSights,2026-02,AI share of total capex,,true
hist_capex_ocf_avg_pct,40,pct,report,Bernstein Research,2024,10-year capex/OCF average,,true
analyst_const_pct_low,35,pct,estimate,Analyst consensus,,Construction share of capex (commonly cited),,false
dc_construction_low_bn,30,bn_usd,estimate,"JLL, CBRE",2025,US data center construction spending,,false
dc_construction_high_bn,50,bn_usd,estimate,"JLL, CBRE",2025,US data center construction spending,,false
cloud_rev_2026_low,400,bn_usd,estimate,"Morgan Stanley, Goldman Sachs",2026-02,Consensus cloud revenue estimate,,true
cloud_rev_2026_high,450,bn_usd,estimate,"Morgan Stanley, Goldman Sachs",2026-02,Consensus cloud revenue estimate,,true
nvda_deepseek_loss_bn,600,bn_usd,news,Multiple sources,2025-01-27,Nvidia single-day market cap loss,,false
stargate_announced_bn,500,bn_usd,announcement,White House,2025-01,Stargate Project total,,false
stargate_initial_bn,100,bn_usd,announcement,White House,2025-01,Stargate initial commitment,,false
google_depr_impact_bn,3.9,bn_usd,filing,Alphabet 10-K FY2024,2025-02,"Note 1 - server useful life change",https://sec.gov,false
queue_median_years,4,years,report,"Rand et al. LBNL Queued Up 2025",2025-04,Median time from request to operation for projects completed since 2018,https://emp.lbl.gov/queues,false
va_bill_annual_2040,444,usd_per_year,report,"JLARC / E3 Data Centers in Virginia",2024-12,High-growth scenario residential annual bill increase by 2040,https://jlarc.virginia.gov/landing-2024-data-centers-in-virginia.asp,false
va_capacity_share_americas_pct,25,pct,report,"JLARC / E3 Data Centers in Virginia",2024-12,Share of Americas data center capacity in Northern Virginia,https://jlarc.virginia.gov/landing-2024-data-centers-in-virginia.asp,false
meta_2025_guidance_source,60,bn_usd,earnings_call,Meta Q4 2024 Earnings Call,2025-01-29,"CFO Susan Li: $60–65B capex in 2025 (midpoint used)",https://investor.fb.com/investor-events/press-releases/default.aspx,false
googl_2025_guidance_source,75,bn_usd,earnings_call,Alphabet Q4 2024 Earnings Call,2025-02-04,"CFO Anat Ashkenazi: ~$75B capex in 2025 (quarterly run-rate guidance)",https://abc.xyz/investor/,false
amzn_2025_guidance_source,100,bn_usd,earnings_call,Amazon Q4 2024 Earnings Call,2025-02-06,"CEO Andy Jassy: capex trajectory comment; ~$100B extrapolated from quarterly pace",https://ir.aboutamazon.com/,false
msft_fy25_guidance_source,80,bn_usd,earnings_call,Microsoft Q1 FY2025 Earnings Call,2024-10-30,"CFO Amy Hood revised FY2025 capex guidance upward from ~$60B to ~$80B",https://www.microsoft.com/en-us/investor,false
deepseek_v3_train_cost_m,6,m_usd,technical_report,DeepSeek-AI Technical Report (arXiv:2412.19437),2024-12-25,"Final training run compute cost only — excludes prior experimental runs and full development costs",https://arxiv.org/abs/2412.19437,false
gs_ai_capex_ref,0,reference,report,"Goldman Sachs - Gen AI: Too Much Spend Too Little Return?",2024-09-05,"Equity research questioning ROI assumptions on AI infrastructure buildout (paywalled)",https://www.goldmansachs.com,true
meta_beignet_financing_bn,30,bn_usd,article,"NYT Weise & Tan - AI Risk Offloading",2025-12-15,"Meta secured ~$30B via Blue Owl Capital / Beignet Investor LLC SPV for Louisiana data center; Blue Owl on hook for 80% of financing",https://www.nytimes.com/2025/12/15/technology/ai-data-center-risk.html,true
meta_beignet_lease_years,4,years,article,"NYT Weise & Tan - AI Risk Offloading",2025-12-15,"Meta agreed to rent the Beignet/Hyperion data center from SPV with series of 4-year leases; classified as operating cost not debt",https://www.nytimes.com/2025/12/15/technology/ai-data-center-risk.html,true
meta_beignet_exit_year,2033,year,article,"NYT Weise & Tan - AI Risk Offloading",2025-12-15,"Meta can walk away from deal as early as 2033; bond maturity is 2049 — 16-year risk gap between exit option and bond holders",https://www.nytimes.com/2025/12/15/technology/ai-data-center-risk.html,true
beignet_bond_maturity,2049,year,article,"NYT Weise & Tan - AI Risk Offloading",2025-12-15,"Beignet bonds sold by Pimco to insurers/pension funds/endowments/financial advisers; mature 2049; BlackRock also purchased",https://www.nytimes.com/2025/12/15/technology/ai-data-center-risk.html,true
msft_nebius_deal_bn,17,bn_usd,article,"NYT Weise & Tan - AI Risk Offloading",2025-12-15,"Microsoft $17B deal with Nebius (neocloud, ex-Yandex founder) signed Sep 2025",https://www.nytimes.com/2025/12/15/technology/ai-data-center-risk.html,true
msft_nscale_deal_bn,23,bn_usd,article,"NYT Weise & Tan - AI Risk Offloading",2025-12-15,"Microsoft $23B deal with Nscale (privately-held British neocloud) signed Oct 2025; figure per Bloomberg",https://www.nytimes.com/2025/12/15/technology/ai-data-center-risk.html,true
msft_iren_deal_bn,10,bn_usd,article,"NYT Weise & Tan - AI Risk Offloading",2025-12-15,"Microsoft $10B deal with Iren (former bitcoin miner) signed Nov 2025",https://www.nytimes.com/2025/12/15/technology/ai-data-center-risk.html,true
msft_neocloud_total_bn,50,bn_usd,article,"NYT Weise & Tan - AI Risk Offloading",2025-12-15,"Microsoft signed $50B+ in neocloud leases (Nebius+Nscale+Iren+Lambda) in Sep-Nov 2025; 3-5 year terms; shows as opex not capex",https://www.nytimes.com/2025/12/15/technology/ai-data-center-risk.html,true
openai_coreweave_commitment_bn,22.4,bn_usd,article,"NYT Weise & Tan - AI Risk Offloading",2025-12-15,"OpenAI committed to buy up to $22.4B in computing power directly from CoreWeave",https://www.nytimes.com/2025/12/15/technology/ai-data-center-risk.html,true
coreweave_interest_rate_pct,10,pct,article,"NYT Weise & Tan - AI Risk Offloading",2025-12-15,"CoreWeave borrowing billions at 10%+ interest rates; future tied to OpenAI demand",https://www.nytimes.com/2025/12/15/technology/ai-data-center-risk.html,true
openai_msft_compute_promise_bn,250,bn_usd,article,"NYT Weise & Tan - AI Risk Offloading",2025-12-15,"OpenAI has promised to send $250B in computing Microsoft's way",https://www.nytimes.com/2025/12/15/technology/ai-data-center-risk.html,true
big5_planned_capex_2025_bn,325,bn_usd,article,"NYT Metz & Weise - What Are AI Companies Building",2025-09-16,"Amazon+Microsoft+Google+Meta+OpenAI plan to spend $325B+ combined by end of 2025 on AI pursuit",https://www.nytimes.com/2025/09/16/technology/what-exactly-are-ai-companies-trying-to-build-heres-a-guide.html,true
chatgpt_monthly_users_m,700,m_users,article,"NYT Metz & Weise - What Are AI Companies Building",2025-09-16,"ChatGPT has 700M+ monthly users",https://www.nytimes.com/2025/09/16/technology/what-exactly-are-ai-companies-trying-to-build-heres-a-guide.html,true
openai_paid_subscriber_pct,6,pct,article,"NYT Metz & Weise - What Are AI Companies Building",2025-09-16,"Paid subscribers account for fewer than 6% of ChatGPT users; free version still unprofitable",https://www.nytimes.com/2025/09/16/technology/what-exactly-are-ai-companies-trying-to-build-heres-a-guide.html,true
google_search_ad_rev_qtr_bn,54,bn_usd,article,"NYT Metz & Weise - What Are AI Companies Building",2025-09-16,"Google search generates $54B quarterly ad revenue; ~2B daily users",https://www.nytimes.com/2025/09/16/technology/what-exactly-are-ai-companies-trying-to-build-heres-a-guide.html,true
mckinsey_no_impact_pct,80,pct,article,"NYT Metz & Weise - What Are AI Companies Building",2025-09-16,"~80% of businesses started using gen AI but equally many said no significant bottom-line impact (McKinsey research)",https://www.nytimes.com/2025/09/16/technology/what-exactly-are-ai-companies-trying-to-build-heres-a-guide.html,true
jassy_infra_delivery_pct,85,pct,article,"NYT Metz & Weise - What Are AI Companies Building",2025-09-16,"Andy Jassy: ~10% of AI infra used for building AI; 80-90% used to deliver AI to customers",https://www.nytimes.com/2025/09/16/technology/what-exactly-are-ai-companies-trying-to-build-heres-a-guide.html,true
meta_ai_ad_click_lift_pct,7,pct,article,"NYT Metz & Weise - What Are AI Companies Building",2025-09-16,"Meta found people ~7% more likely to click on ads created with new AI techniques",https://www.nytimes.com/2025/09/16/technology/what-exactly-are-ai-companies-trying-to-build-heres-a-guide.html,true
musk_ai_companion_monthly,300,usd_per_month,article,"NYT Metz & Weise - What Are AI Companies Building",2025-09-16,"Musk/xAI offering AI companion bots via subscription at $300/month",https://www.nytimes.com/2025/09/16/technology/what-exactly-are-ai-companies-trying-to-build-heres-a-guide.html,true
rainier_acres,1200,acres,article,"NYT Weise & Metz - Amazon Data Centers",2025-06-24,"Project Rainier: 1200 acres of former cornfield near New Carlisle IN",https://www.nytimes.com/2025/06/24/technology/amazon-ai-data-centers.html,true
rainier_gw,2.2,GW,article,"NYT Weise & Metz - Amazon Data Centers",2025-06-24,"Project Rainier will consume 2.2 GW of electricity — enough to power a million homes",https://www.nytimes.com/2025/06/24/technology/amazon-ai-data-centers.html,true
rainier_dc_planned,30,count,article,"NYT Weise & Metz - Amazon Data Centers",2025-06-24,"Amazon plans ~30 data centers at site; 7 built by early June 2025; each larger than a football stadium",https://www.nytimes.com/2025/06/24/technology/amazon-ai-data-centers.html,true
rainier_dc_built_jun2025,7,count,article,"NYT Weise & Metz - Amazon Data Centers",2025-06-24,"Seven data centers constructed as of early June 2025; bulldozers on 8th; parking lot becomes 9th",https://www.nytimes.com/2025/06/24/technology/amazon-ai-data-centers.html,true
amzn_anthropic_investment_bn,8,bn_usd,article,"NYT Weise & Metz - Amazon Data Centers",2025-06-24,"Amazon has invested $8B in Anthropic; Rainier built with single customer (Anthropic) in mind",https://www.nytimes.com/2025/06/24/technology/amazon-ai-data-centers.html,true
rainier_tax_break_sales_bn,4,bn_usd,article,"NYT Weise & Metz - Amazon Data Centers",2025-06-24,"Indiana 50-year sales tax break worth ~$4B (Citizens Action Coalition estimate)",https://www.nytimes.com/2025/06/24/technology/amazon-ai-data-centers.html,true
rainier_tax_break_property_bn,4,bn_usd,article,"NYT Weise & Metz - Amazon Data Centers",2025-06-24,"County property and technology tax breaks could save Amazon additional ~$4B over 35 years",https://www.nytimes.com/2025/06/24/technology/amazon-ai-data-centers.html,true
rainier_tax_deal_commitment_bn,11,bn_usd,article,"NYT Weise & Metz - Amazon Data Centers",2025-06-24,"In tax deal Amazon committed $11B for 16 buildings; now plans nearly double (~30)",https://www.nytimes.com/2025/06/24/technology/amazon-ai-data-centers.html,true
aep_indiana_peak_2024_gw,2.8,GW,article,"NYT Weise & Metz - Amazon Data Centers",2025-06-24,"AEP Indiana peak power: 2.8 GW in 2024; data centers will push to 7+ GW by ~2030",https://www.nytimes.com/2025/06/24/technology/amazon-ai-data-centers.html,true
aep_indiana_peak_2030_gw,7,GW,article,"NYT Weise & Metz - Amazon Data Centers",2025-06-24,"AEP projects 7+ GW peak by ~2030; Amazon campus = ~half of additional load growth",https://www.nytimes.com/2025/06/24/technology/amazon-ai-data-centers.html,true
aep_gas_share_pct,75,pct,article,"NYT Weise & Metz - Amazon Data Centers",2025-06-24,"AEP told regulators it expects natural gas plants to provide ~75% of additional power needed by 2030",https://www.nytimes.com/2025/06/24/technology/amazon-ai-data-centers.html,true
rainier_workers_weekly,4000,count,article,"NYT Weise & Metz - Amazon Data Centers",2025-06-24,"~4000 construction workers on site on typical week",https://www.nytimes.com/2025/06/24/technology/amazon-ai-data-centers.html,true
rainier_road_payment_m,7.12,m_usd,article,"NYT Weise & Metz - Amazon Data Centers",2025-06-24,"Amazon paid $120K for traffic enforcement overtime + $7M for road improvements",https://www.nytimes.com/2025/06/24/technology/amazon-ai-data-centers.html,true
rainier_dewatering_gal_hr_m,2.2,m_gal_hr,article,"NYT Weise & Metz - Amazon Data Centers",2025-06-24,"Dewatering permit: 2.2M gallons/hour for 730 days; state investigating dry neighbor wells",https://www.nytimes.com/2025/06/24/technology/amazon-ai-data-centers.html,true
annapurna_acquisition_year,2015,year,article,"NYT Weise & Metz - Amazon Data Centers",2025-06-24,"Amazon acquired Annapurna Labs (Israeli chip designer) in 2015; started AI chip design 2016",https://www.nytimes.com/2025/06/24/technology/amazon-ai-data-centers.html,true
meta_louisiana_dc_gw,2,GW,article,"NYT Weise & Metz - Amazon Data Centers",2025-06-24,"Meta building 2-GW data center in Louisiana (cross-referenced with risk offloading article)",https://www.nytimes.com/2025/06/24/technology/amazon-ai-data-centers.html,true
openai_texas_dc_gw,1.2,GW,article,"NYT Weise & Metz - Amazon Data Centers",2025-06-24,"OpenAI erecting 1.2-GW facility in Texas and nearly as large in UAE",https://www.nytimes.com/2025/06/24/technology/amazon-ai-data-centers.html,true
